Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.65,0.3,0.4,6.0459413,98.02321455725075
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.65,0.3,0.4,43.8618914,96.59957883108365
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.65,0.3,0.6,1.879573,99.2248062015504
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.65,0.3,0.6,7.5269717,98.14824201260411
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.65,0.3,0.6,47.8784467,96.57282424828253
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.65,0.3,0.7,1.5668289,99.60625076904147
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.65,0.3,0.7,5.7307936,98.27664858837245
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.65,0.3,0.7,41.5614332,96.42351641523112
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.1,0.4,1.493569,99.45449325294287
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.1,0.4,6.1726578,98.7632419281261
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.1,0.4,44.4194955,97.23737356301999
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.1,0.6,1.5120844,99.58164144210656
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.1,0.6,5.9158171,99.07750012671701
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.1,0.6,44.2012107,97.62747264128146
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.1,0.7,1.3413042,99.25351708297445
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.1,0.7,5.5730032,97.80188217007112
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.1,0.7,1083.4712273,97.47212345082336
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.15,0.4,1.0477022,99.49961035232353
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.15,0.4,3.4821231,98.99302211634313
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.15,0.4,20.439651,96.87143991438533
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.15,0.6,0.782903,99.68418030433534
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.15,0.6,2.6705854,98.53853042053153
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.15,0.6,20.9820987,97.16315117202333
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.15,0.7,0.8396946,99.77441450309668
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.15,0.7,3.2194402,98.77506884957845
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.15,0.7,20.5046159,97.30641764766803
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.3,0.4,1.0052863,99.2248062015504
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.3,0.4,3.3150236,98.49291229492962
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.3,0.4,19.1249214,96.8179307487831
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.3,0.6,0.9660824,99.2248062015504
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.3,0.6,3.1131574,98.31381891293697
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.3,0.6,20.3263682,96.66517071149929
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.8,0.3,0.7,0.8055037,99.45449325294287
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.8,0.3,0.7,3.2517402,98.12120904928447
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.8,0.3,0.7,19.1977825,96.6703490178479
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.5,0.1,0.4,0.8118575,99.45449325294287
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.5,0.1,0.4,2.742448,98.7716897291635
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.5,0.1,0.4,18.8967513,96.77909345116858
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.5,0.1,0.6,0.7469531,99.45859480743202
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.5,0.1,0.6,2.6173514,98.91868146721409
